case_id,connector,account_id,expected,reason
case-000,drive,googledrive_baste-nous,accept,canonical_composio
case-001,drive,gmail_atilt-worked,reject,malformed_or_forbidden
case-002,drive,,reject,malformed_or_forbidden
case-003,drive,,reject,malformed_or_forbidden
case-004,drive,gmail_BOGUS,reject,malformed_or_forbidden
case-005,drive,github_wrong,reject,malformed_or_forbidden
case-006,github,github_unhex-ume,accept,canonical_composio
case-007,github,gmail_atilt-worked,reject,malformed_or_forbidden
case-008,github,,reject,malformed_or_forbidden
case-009,github,,reject,malformed_or_forbidden
case-010,github,gmail_BOGUS,reject,malformed_or_forbidden
case-011,github,github_wrong,reject,malformed_or_forbidden
case-012,linear,linear_diver-forbow,accept,canonical_composio
case-013,linear,gmail_atilt-worked,reject,malformed_or_forbidden
case-014,linear,,reject,malformed_or_forbidden
case-015,linear,,reject,malformed_or_forbidden
case-016,linear,gmail_BOGUS,reject,malformed_or_forbidden
case-017,linear,github_wrong,reject,malformed_or_forbidden
case-018,gmail,gmail_illipe-eaves,accept,canonical_composio
case-019,gmail,gmail_deash-pungle,accept,canonical_composio
case-020,gmail,gmail_algy-alpen,accept,canonical_composio
case-021,gmail,gmail_atilt-worked,reject,malformed_or_forbidden
case-022,gmail,,reject,malformed_or_forbidden
case-023,gmail,,reject,malformed_or_forbidden
case-024,gmail,gmail_BOGUS,reject,malformed_or_forbidden
case-025,gmail,github_wrong,reject,malformed_or_forbidden
